#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
    0.012398420     0.136648525     0.019384582
    0.012522400     0.228750289     0.032128609
    0.012646390     0.338766583     0.047114201
    0.012770370     0.244655827     0.033695346
    0.012894360     0.275781991     0.037616982
    0.013018340     0.553692281     0.074805012
    0.013142330     0.549939675     0.073597069
    0.013266310     0.190150545     0.025209560
    0.013390290     0.029855205     0.003921461
    0.013514280     0.171138604     0.022272702
    0.013638260     0.315441921     0.040679750
    0.013762250     0.369717661     0.047249649
    0.013886230     0.294687072     0.037324549
    0.014010210     0.161993228     0.020336212
    0.014134200     0.194727235     0.024231110
    0.014258180     0.285163740     0.035176129
    0.014382170     0.235863818     0.028843951
    0.014506150     0.205638235     0.024932713
    0.014630140     0.247823630     0.029792851
    0.014754120     0.231241909     0.027565830
    0.014878100     0.227882420     0.026938982
    0.015002090     0.255781959     0.029987204
    0.015126070     0.228237947     0.026538696
    0.015250060     0.226367760     0.026107234
    0.015374040     0.253122598     0.028957479
    0.015498020     0.233001717     0.026442392
    0.015622010     0.241243423     0.027160415
    0.015745990     0.257657086     0.028779945
    0.015869980     0.225978186     0.025044247
    0.015993960     0.261943195     0.028805071
    0.016117950     0.333530478     0.036395154
    0.016241930     0.300137504     0.032501280
    0.016365910     0.236683131     0.025435776
    0.016489900     0.229784803     0.024508747
    0.016613880     0.237323702     0.025123948
    0.016737870     0.238941163     0.025107798
    0.016861850     0.238508869     0.024878097
    0.016985840     0.239114889     0.024759247
    0.017109820     0.240735625     0.024746442
    0.017233800     0.237078766     0.024195213
    0.017357790     0.238957382     0.024212736
    0.017481770     0.241344183     0.024281151
    0.017605760     0.239346332     0.023910565
    0.017729740     0.242154018     0.024021889
    0.017853720     0.239323538     0.023576239
    0.017977710     0.238169366     0.023300721
    0.018101690     0.241572983     0.023471837
    0.018225680     0.237160509     0.022886347
    0.018349660     0.241159549     0.023115020
    0.018473650     0.242537119     0.023091032
    0.018597630     0.235285381     0.022251289
    0.018721610     0.240689381     0.022611614
    0.018845600     0.238293518     0.022239248
    0.018969580     0.235687906     0.021852313
    0.019093570     0.242907240     0.022375418
    0.019217550     0.236619225     0.021655581
    0.019341530     0.239115663     0.021743780
    0.019465520     0.239303479     0.021622248
    0.019589500     0.232717381     0.020894083
    0.019713490     0.245913936     0.021940042
    0.019837470     0.237701368     0.021074789
    0.019961460     0.241601926     0.021287562
    0.020085440     0.259462962     0.022720185
    0.020209420     0.239726242     0.020863135
    0.020333410     0.322022106     0.027854368
    0.020457390     0.422065546     0.036286703
    0.020581380     0.309654075     0.026461846
    0.020705360     0.200294515     0.017013909
    0.020829350     0.223092185     0.018837639
    0.020953330     0.215467142     0.018086138
    0.021077310     0.208390024     0.017389199
    0.021201300     0.219724313     0.018227767
    0.021325280     0.210332434     0.017347198
    0.021449270     0.217566849     0.017840131
    0.021573250     0.214746074     0.017507635
    0.021697230     0.209723163     0.017000431
    0.021821220     0.215714831     0.017386766
    0.021945200     0.208832422     0.016736946
    0.022069190     0.211675064     0.016869459
    0.022193170     0.212518792     0.016842084
    0.022317160     0.210557368     0.016593934
    0.022441140     0.212158014     0.016627707
    0.022565120     0.206473666     0.016093291
    0.022689110     0.211381862     0.016385817
    0.022813090     0.208328872     0.016061392
    0.022937080     0.209856995     0.016091746
    0.023061060     0.215555444     0.016439839
    0.023185050     0.208527541     0.015818789
    0.023309030     0.228637326     0.017252052
    0.023433010     0.219091333     0.016444284
    0.023557000     0.258756941     0.019319232
    0.023680980     0.409901916     0.030443748
    0.023804970     0.369840732     0.027325300
    0.023928950     0.192380557     0.014140194
    0.024052930     0.175143841     0.012806921
    0.024176920     0.187796726     0.013661704
    0.024300900     0.170232829     0.012320797
    0.024424890     0.182298129     0.013127059
    0.024548870     0.175441283     0.012569504
    0.024672860     0.179863176     0.012821552
    0.024796840     0.178922206     0.012690705
