#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
    0.000010000     0.000008692     0.011184434
    0.000020000     0.000012359     0.007951529
    0.000030000     0.000015224     0.006529538
    0.000040000     0.000017684     0.005688680
    0.000050000     0.000019896     0.005120065
    0.000060000     0.000021937     0.004704576
    0.000070000     0.000023857     0.004385280
    0.000080000     0.000025684     0.004131070
    0.000090000     0.000027442     0.003923370
    0.000100000     0.000029146     0.003750257
    0.000110000     0.000030807     0.003603721
    0.000120000     0.000032437     0.003478152
    0.000130000     0.000034042     0.003369461
    0.000140000     0.000035629     0.003274611
    0.000150000     0.000037202     0.003191299
    0.000160000     0.000038768     0.003117736
    0.000170000     0.000040329     0.003052480
    0.000180000     0.000041889     0.002994407
    0.000190000     0.000043451     0.002942588
    0.000200000     0.000045017     0.002896264
    0.000210000     0.000046592     0.002854807
    0.000220000     0.000048175     0.002817668
    0.000230000     0.000049771     0.002784418
    0.000240000     0.000051380     0.002754669
    0.000250000     0.000053004     0.002728084
    0.000260000     0.000054646     0.002704398
    0.000270000     0.000056306     0.002683354
    0.000280000     0.000057986     0.002664745
    0.000290000     0.000059688     0.002648377
    0.000300000     0.000061413     0.002634085
    0.000310000     0.000063163     0.002621725
    0.000320000     0.000064938     0.002611165
    0.000330000     0.000066739     0.002602290
    0.000340000     0.000068569     0.002595002
    0.000350000     0.000070428     0.002589194
    0.000360000     0.000072317     0.002584794
    0.000370000     0.000074238     0.002581724
    0.000380000     0.000076190     0.002579913
    0.000390000     0.000078177     0.002579304
    0.000400000     0.000080198     0.002579830
    0.000410000     0.000082254     0.002581447
    0.000420000     0.000084347     0.002584105
    0.000430000     0.000086478     0.002587762
    0.000440000     0.000088647     0.002592374
    0.000450000     0.000090855     0.002597911
    0.000460000     0.000093104     0.002604334
    0.000470000     0.000095393     0.002611611
    0.000480000     0.000097725     0.002619714
    0.000490000     0.000100100     0.002628618
    0.000500000     0.000102519     0.002638297
    0.000510000     0.000104983     0.002648727
    0.000520000     0.000107492     0.002659884
    0.000530000     0.000110048     0.002671753
    0.000540000     0.000112652     0.002684306
    0.000550000     0.000115303     0.002697530
    0.000560000     0.000118004     0.002711408
    0.000570000     0.000120754     0.002725926
    0.000580000     0.000123555     0.002741066
    0.000590000     0.000126407     0.002756808
    0.000600000     0.000129311     0.002773147
    0.000610000     0.000132268     0.002790064
    0.000620000     0.000135279     0.002807551
    0.000630000     0.000138345     0.002825592
    0.000640000     0.000141465     0.002844180
    0.000650000     0.000144641     0.002863295
    0.000660000     0.000147874     0.002882935
    0.000670000     0.000151163     0.002903084
    0.000680000     0.000154511     0.002923736
    0.000690000     0.000157917     0.002944877
    0.000700000     0.000161382     0.002966500
    0.000710000     0.000164906     0.002988595
    0.000720000     0.000168491     0.003011153
    0.000730000     0.000172137     0.003034165
    0.000740000     0.000175844     0.003057621
    0.000750000     0.000179613     0.003081510
    0.000760000     0.000183444     0.003105830
    0.000770000     0.000187338     0.003130565
    0.000780000     0.000191295     0.003155713
    0.000790000     0.000195316     0.003181260
    0.000800000     0.000199401     0.003207203
    0.000810000     0.000203551     0.003233524
    0.000820000     0.000207765     0.003260223
    0.000830000     0.000212045     0.003287290
    0.000840000     0.000216390     0.003314713
    0.000850000     0.000220801     0.003342489
    0.000860000     0.000225278     0.003370606
    0.000870000     0.000229821     0.003399050
    0.000880000     0.000234430     0.003427822
    0.000890000     0.000239106     0.003456909
    0.000900000     0.000243848     0.003486301
    0.000910000     0.000248657     0.003515989
    0.000920000     0.000253533     0.003545967
    0.000930000     0.000258475     0.003576221
    0.000940000     0.000263485     0.003606746
    0.000950000     0.000268561     0.003637530
    0.000960000     0.000273703     0.003668566
    0.000970000     0.000278912     0.003699838
    0.000980000     0.000284187     0.003731347
    0.000990000     0.000289527     0.003763072
