#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
   0.001      0.00012      0.00282
   0.002      0.00029      0.00338
   0.003      0.00069      0.00537
   0.004      0.00126      0.00731
   0.005      0.00158      0.00738
   0.006      0.00167      0.00648
   0.007      0.00212      0.00703
   0.008      0.00262      0.00761
   0.009      0.00294      0.00762
   0.010      0.00363      0.00846
   0.011      0.00415      0.00878
   0.012      0.00490      0.00950
   0.013      0.00564      0.01010
   0.014      0.00647      0.01075
   0.015      0.00740      0.01148
   0.016      0.00834      0.01213
   0.017      0.00941      0.01288
   0.018      0.01047      0.01354
   0.019      0.01163      0.01425
   0.020      0.01279      0.01488
   0.021      0.01396      0.01547
   0.022      0.01519      0.01607
   0.023      0.01628      0.01648
   0.024      0.01753      0.01700
   0.025      0.01848      0.01720
   0.026      0.01968      0.01761
   0.027      0.02047      0.01764
   0.028      0.02151      0.01788
   0.029      0.02220      0.01782
   0.030      0.02294      0.01780
   0.031      0.02367      0.01777
   0.032      0.02400      0.01745
   0.033      0.02485      0.01753
   0.034      0.02485      0.01701
   0.035      0.02573      0.01711
   0.036      0.02381      0.01540
   0.037      0.02462      0.01549
   0.038      0.02445      0.01498
   0.039      0.02413      0.01440
   0.040      0.02428      0.01413
   0.041      0.02374      0.01348
   0.042      0.02326      0.01289
   0.043      0.02367      0.01281
   0.044      0.02237      0.01183
   0.045      0.02244      0.01161
   0.046      0.02241      0.01134
   0.047      0.02138      0.01059
   0.048      0.02106      0.01021
   0.049      0.02112      0.01003
   0.050      0.02040      0.00950
   0.051      0.01974      0.00901
   0.052      0.01965      0.00879
   0.053      0.01926      0.00846
   0.054      0.01872      0.00807
   0.055      0.01829      0.00774
   0.056      0.01790      0.00744
   0.057      0.01761      0.00719
   0.058      0.01719      0.00690
   0.059      0.01675      0.00661
   0.060      0.01642      0.00637
   0.061      0.01604      0.00612
   0.062      0.01568      0.00589
   0.063      0.01538      0.00568
   0.064      0.01500      0.00546
   0.065      0.01467      0.00525
   0.066      0.01436      0.00506
   0.067      0.01402      0.00487
   0.068      0.01375      0.00471
   0.069      0.01349      0.00455
   0.070      0.01317      0.00438
   0.071      0.01291      0.00423
   0.072      0.01266      0.00409
   0.073      0.01240      0.00395
   0.074      0.01222      0.00384
   0.075      0.01201      0.00373
   0.076      0.01179      0.00361
   0.077      0.01162      0.00351
   0.078      0.01145      0.00342
   0.079      0.01129      0.00333
   0.080      0.01119      0.00326
   0.081      0.01107      0.00318
   0.082      0.01096      0.00311
   0.083      0.01090      0.00306
   0.084      0.01083      0.00300
   0.085      0.01080      0.00296
   0.086      0.01084      0.00293
   0.087      0.01086      0.00291
   0.088      0.01091      0.00289
   0.089      0.01103      0.00288
   0.090      0.01113      0.00288
   0.091      0.01126      0.00288
   0.092      0.01147      0.00290
   0.093      0.01167      0.00292
   0.094      0.01192      0.00295
   0.095      0.01224      0.00300
   0.096      0.01256      0.00305
   0.097      0.01292      0.00310
   0.098      0.01336      0.00317
   0.099      0.01380      0.00325
   0.100      0.01429      0.00333
