#Ecol(eV)    prop(Jmax)    ICS(bohr^2)
    0.001000000     0.000077329     0.001799849
    0.002000000     0.000199869     0.002325986
    0.003000000     0.000206996     0.001605956
    0.004000000     0.000281073     0.001635505
    0.005000000     0.000368744     0.001716515
    0.006000000     0.000453287     0.001758388
    0.007000000     0.000551930     0.001835179
    0.008000000     0.000675106     0.001964146
    0.009000000     0.000825078     0.002133755
    0.010000000     0.001000683     0.002329102
    0.011000000     0.001200576     0.002540325
    0.012000000     0.001426933     0.002767672
    0.013000000     0.001684077     0.003015162
    0.014000000     0.001974951     0.003283375
    0.015000000     0.002301505     0.003571189
    0.016000000     0.002664954     0.003876698
    0.017000000     0.003064646     0.004195885
    0.018000000     0.003499607     0.004525212
    0.019000000     0.003968572     0.004861529
    0.020000000     0.004467825     0.005199462
    0.021000000     0.004994218     0.005535290
    0.022000000     0.005543374     0.005864672
    0.023000000     0.006110046     0.006183136
    0.024000000     0.006690134     0.006488073
    0.025000000     0.007277931     0.006775793
    0.026000000     0.007870025     0.007045226
    0.027000000     0.008461638     0.007294287
    0.028000000     0.009050204     0.007523026
    0.029000000     0.009632137     0.007730665
    0.030000000     0.010205764     0.007918018
    0.031000000     0.010768691     0.008085249
    0.032000000     0.011320717     0.008234101
    0.033000000     0.011862854     0.008366955
    0.034000000     0.012407995     0.008494052
    0.035000000     0.013066193     0.008689068
    0.036000000     0.012185403     0.007878247
    0.037000000     0.013255527     0.008338491
    0.038000000     0.013645638     0.008358002
    0.039000000     0.013190370     0.007871990
    0.040000000     0.014071697     0.008188016
    0.041000000     0.013717588     0.007787286
    0.042000000     0.014245574     0.007894468
    0.043000000     0.014377477     0.007782272
    0.044000000     0.014296766     0.007562708
    0.045000000     0.014735499     0.007621571
    0.046000000     0.014779688     0.007478244
    0.047000000     0.014823103     0.007340632
    0.048000000     0.015058037     0.007301621
    0.049000000     0.015160240     0.007201155
    0.050000000     0.015206919     0.007078861
    0.051000000     0.015313751     0.006988816
    0.052000000     0.015432793     0.006907699
    0.053000000     0.015542351     0.006825477
    0.054000000     0.015644581     0.006743143
    0.055000000     0.015731511     0.006657328
    0.056000000     0.015819104     0.006574853
    0.057000000     0.015924153     0.006502400
    0.058000000     0.016032055     0.006433590
    0.059000000     0.016127268     0.006362107
    0.060000000     0.016221874     0.006292772
    0.061000000     0.016335516     0.006232973
    0.062000000     0.016465296     0.006181161
    0.063000000     0.016591384     0.006129630
    0.064000000     0.016703577     0.006074656
    0.065000000     0.016811356     0.006019793
    0.066000000     0.016932063     0.005971152
    0.067000000     0.017073549     0.005931181
    0.068000000     0.017227698     0.005896720
    0.069000000     0.017379826     0.005862577
    0.070000000     0.017522710     0.005826335
    0.071000000     0.017661720     0.005789844
    0.072000000     0.017808868     0.005756997
    0.073000000     0.017971864     0.005730103
    0.074000000     0.018147331     0.005707859
    0.075000000     0.018324204     0.005686644
    0.076000000     0.018493572     0.005663689
    0.077000000     0.018655725     0.005639149
    0.078000000     0.018819654     0.005615769
    0.079000000     0.018996181     0.005596692
    0.080000000     0.019190201     0.005583181
    0.081000000     0.019398246     0.005574034
    0.082000000     0.019611280     0.005566527
    0.083000000     0.019819089     0.005557734
    0.084000000     0.020019114     0.005546995
    0.085000000     0.020220452     0.005536867
    0.086000000     0.020432970     0.005530001
    0.087000000     0.020657179     0.005526421
    0.088000000     0.020885948     0.005524128
    0.089000000     0.021113559     0.005521583
    0.090000000     0.021342266     0.005519379
    0.091000000     0.021580663     0.005519701
    0.092000000     0.021836045     0.005524314
    0.093000000     0.022108067     0.005532992
    0.094000000     0.022390041     0.005543949
    0.095000000     0.022676858     0.005555862
    0.096000000     0.022971260     0.005569366
    0.097000000     0.023281496     0.005586391
    0.098000000     0.023612783     0.005608068
    0.099000000     0.023961894     0.005633498
    0.100000000     0.024320772     0.005660692
